customer_id,first_name,last_name,email,city,signup_date
1,Customer_1,Lastname_1,customer1@example.com,Delhi,2024-12-20
2,Customer_2,Lastname_2,customer2@example.com,Bengaluru,2024-08-29
3,Customer_3,Lastname_3,customer3@example.com,Mumbai,2024-10-22
4,Customer_4,Lastname_4,customer4@example.com,Delhi,2024-01-21
5,Customer_5,Lastname_5,customer5@example.com,Pune,2024-11-18
6,Customer_6,Lastname_6,customer6@example.com,Pune,2024-05-30
7,Customer_7,Lastname_7,customer7@example.com,Delhi,2024-12-17
8,Customer_8,Lastname_8,customer8@example.com,Delhi,2024-09-12
9,Customer_9,Lastname_9,customer9@example.com,Mumbai,2024-04-18
10,Customer_10,Lastname_10,customer10@example.com,Pune,2024-12-19
11,Customer_11,Lastname_11,customer11@example.com,Pune,2024-09-22
12,Customer_12,Lastname_12,customer12@example.com,Pune,2024-06-01
13,Customer_13,Lastname_13,customer13@example.com,Mumbai,2024-05-17
14,Customer_14,Lastname_14,customer14@example.com,Pune,2024-08-12
15,Customer_15,Lastname_15,customer15@example.com,Delhi,2024-10-12
16,Customer_16,Lastname_16,customer16@example.com,Hyderabad,2024-07-11
17,Customer_17,Lastname_17,customer17@example.com,Bengaluru,2024-10-14
18,Customer_18,Lastname_18,customer18@example.com,Mumbai,2024-07-13
19,Customer_19,Lastname_19,customer19@example.com,Delhi,2024-11-15
20,Customer_20,Lastname_20,customer20@example.com,Hyderabad,2024-11-13
21,Customer_21,Lastname_21,customer21@example.com,Bengaluru,2024-07-09
22,Customer_22,Lastname_22,customer22@example.com,Pune,2024-08-19
23,Customer_23,Lastname_23,customer23@example.com,Delhi,2024-05-11
24,Customer_24,Lastname_24,customer24@example.com,Pune,2024-10-30
25,Customer_25,Lastname_25,customer25@example.com,Hyderabad,2024-11-22
26,Customer_26,Lastname_26,customer26@example.com,Pune,2024-08-04
27,Customer_27,Lastname_27,customer27@example.com,Pune,2024-06-30
28,Customer_28,Lastname_28,customer28@example.com,Pune,2024-09-25
29,Customer_29,Lastname_29,customer29@example.com,Delhi,2024-12-09
30,Customer_30,Lastname_30,customer30@example.com,Mumbai,2024-08-06
31,Customer_31,Lastname_31,customer31@example.com,Delhi,2024-09-04
32,Customer_32,Lastname_32,customer32@example.com,Delhi,2024-06-21
33,Customer_33,Lastname_33,customer33@example.com,Bengaluru,2024-05-14
34,Customer_34,Lastname_34,customer34@example.com,Bengaluru,2024-10-10
35,Customer_35,Lastname_35,customer35@example.com,Bengaluru,2024-07-04
36,Customer_36,Lastname_36,customer36@example.com,Mumbai,2024-01-24
37,Customer_37,Lastname_37,customer37@example.com,Bengaluru,2024-01-08
38,Customer_38,Lastname_38,customer38@example.com,Delhi,2024-02-25
39,Customer_39,Lastname_39,customer39@example.com,Mumbai,2024-04-03
40,Customer_40,Lastname_40,customer40@example.com,Mumbai,2024-10-10
41,Customer_41,Lastname_41,customer41@example.com,Hyderabad,2024-06-21
42,Customer_42,Lastname_42,customer42@example.com,Bengaluru,2024-02-09
43,Customer_43,Lastname_43,customer43@example.com,Pune,2024-09-11
44,Customer_44,Lastname_44,customer44@example.com,Bengaluru,2024-12-04
45,Customer_45,Lastname_45,customer45@example.com,Mumbai,2024-12-16
46,Customer_46,Lastname_46,customer46@example.com,Bengaluru,2024-06-10
47,Customer_47,Lastname_47,customer47@example.com,Bengaluru,2024-11-29
48,Customer_48,Lastname_48,customer48@example.com,Mumbai,2024-03-17
49,Customer_49,Lastname_49,customer49@example.com,Bengaluru,2024-09-15
50,Customer_50,Lastname_50,customer50@example.com,Hyderabad,2024-06-13
51,Customer_51,Lastname_51,customer51@example.com,Hyderabad,2024-10-20
52,Customer_52,Lastname_52,customer52@example.com,Bengaluru,2024-10-22
53,Customer_53,Lastname_53,customer53@example.com,Mumbai,2024-03-20
54,Customer_54,Lastname_54,customer54@example.com,Pune,2024-08-20
55,Customer_55,Lastname_55,customer55@example.com,Pune,2024-05-27
56,Customer_56,Lastname_56,customer56@example.com,Pune,2024-06-11
57,Customer_57,Lastname_57,customer57@example.com,Bengaluru,2024-09-11
58,Customer_58,Lastname_58,customer58@example.com,Mumbai,2024-04-16
59,Customer_59,Lastname_59,customer59@example.com,Hyderabad,2024-11-16
60,Customer_60,Lastname_60,customer60@example.com,Delhi,2024-11-06
61,Customer_61,Lastname_61,customer61@example.com,Mumbai,2024-02-15
62,Customer_62,Lastname_62,customer62@example.com,Mumbai,2024-01-19
63,Customer_63,Lastname_63,customer63@example.com,Hyderabad,2024-03-02
64,Customer_64,Lastname_64,customer64@example.com,Delhi,2024-06-18
65,Customer_65,Lastname_65,customer65@example.com,Hyderabad,2024-03-02
